"my.date","my.sum","total_engagement","disinformant1","disinformant2","disinformant3"
2018-11-07,1,1754,"Russia",NA,NA
2018-12-01,2,85286,"Russia",NA,NA
2019-01-31,3,27822,"Iran",NA,NA
2019-01-31,4,13443,"Iran","Russia","Venezuela"
2019-03-26,5,4307,"Macedonia","Kosovo",NA
2019-05-28,6,5054,"Iran",NA,NA
2019-06-09,7,26363,"Albania",NA,NA
2019-06-13,8,11912,"Iran",NA,NA
2019-06-22,9,739,"Russia",NA,NA
2019-07-16,10,4007,"Russia",NA,NA
2019-07-17,11,17224,"Iran","North Korea","Russia"
2019-07-25,12,903,"Thailand","Russia",NA
2019-10-04,13,132651,"Iran",NA,NA
2019-10-21,14,47016,"Iran","Russia",NA
2019-10-24,15,8056,"Russia",NA,NA
2019-12-02,16,17420,"Russia",NA,NA
2019-12-05,17,70941,"Israel","United States",NA
2019-12-06,18,168872,"Russia",NA,NA
2019-12-08,19,6217,"Russia",NA,NA
2019-12-20,20,170145,"Saudi Arabia",NA,NA
2019-12-20,21,590152,"United States","Vietnam",NA
2019-12-30,22,16635,"North Korea",NA,NA
2020-01-08,23,2846,"Iran",NA,NA
2020-01-10,24,206860,"Russia",NA,NA
2020-02-12,25,56115,"Iran",NA,NA
2020-02-20,26,2462244,"Russia",NA,NA
2020-02-21,27,2762265,"Russia",NA,NA
2020-03-02,28,13262,"India",NA,NA
2020-03-12,29,32484,"Russia","Ghana","Nigeria"
2020-03-12,30,716893,"China",NA,NA
2020-03-20,31,73798,"Russia","China","Iran"
2020-03-22,32,3636,"Russia",NA,NA
2020-03-27,33,8543,"Russia","China","Iran"
2020-04-10,34,83816,"China",NA,NA
2020-04-22,35,74196,"China",NA,NA
2020-04-27,36,122,"China","Russia",NA
2020-05-05,37,171198,"Russia",NA,NA
2020-05-05,38,108215,"Iran",NA,NA
2020-05-08,39,10139,"China",NA,NA
2020-05-20,40,1754196,"Russia","China",NA
2020-05-20,41,12668,"China",NA,NA
2020-05-28,42,39144,"China",NA,NA
2020-05-31,43,1908033,"Other",NA,NA
2020-06-04,44,291151,"Other",NA,NA
2020-06-04,45,22110,"China","Iran",NA
2020-06-05,46,100914,"Venezuela",NA,NA
2020-06-11,47,12026,"Russia","China","Iran"
2020-06-15,48,18804,"Russia",NA,NA
2020-06-16,49,123182,"Russia",NA,NA
2020-06-22,50,329743,"Other",NA,NA
2020-07-20,51,210178,"Other",NA,NA
2020-07-24,52,93972,"Russia","China","Iran"
2020-07-28,53,66584,"Russia",NA,NA
2020-08-06,54,764693,"Romania",NA,NA
2020-08-07,55,179062,"Russia","China","Iran"
2020-08-12,56,22052,"China",NA,NA
2020-08-12,57,222491,"Russia",NA,NA
2020-09-01,58,232689,"Russia",NA,NA
2020-09-02,59,449047,"Russia","Iran","China"
2020-09-03,60,256972,"Russia",NA,NA
2020-09-04,61,826339,"China",NA,NA
2020-09-06,62,226159,"Russia",NA,NA
2020-09-09,63,1661042,"Russia",NA,NA
2020-09-10,64,343569,"Russia","China","Iran"
2020-09-17,65,373751,"Russia",NA,NA
2020-09-22,66,438990,"Russia",NA,NA
2020-09-22,67,164704,"China",NA,NA
2020-09-24,68,69596,"Russia",NA,NA
2020-09-28,69,104650,"Other",NA,NA
2020-09-29,70,55859,"United States","Russia",NA
2020-09-29,71,2122228,"United States","Russia",NA
2020-09-30,72,8812,"Iran",NA,NA
2020-10-01,73,135045,"Russia",NA,NA
2020-10-06,74,371623,"Russia","China","Iran"
2020-10-08,75,231140,"Iran",NA,NA
2020-10-09,76,4468,"China","Russia","Iran"
2020-10-12,77,108542,"Other",NA,NA
2020-10-14,78,1185952,"Russia",NA,NA
2020-10-15,79,2809650,"Russia",NA,NA
2020-10-19,80,1791,"Iran",NA,NA
2020-10-19,81,1599658,"Russia",NA,NA
2020-10-21,82,1220555,"Iran","Russia",NA
2020-10-23,83,4552,"North Korea",NA,NA
2020-11-02,84,25458,"India",NA,NA
