Query,Time,Value,Unit
"text=""election"" AND text=""China"" AND channel=""MSNBC""",2019-01-29,0.213,seconds
"text=""election"" AND text=""China"" AND channel=""MSNBC""",2019-05-13,0.993,seconds
"text=""election"" AND text=""China"" AND channel=""MSNBC""",2019-06-03,0.13,seconds
"text=""election"" AND text=""China"" AND channel=""MSNBC""",2019-06-14,0.439,seconds
"text=""election"" AND text=""China"" AND channel=""MSNBC""",2019-07-30,0.135,seconds
"text=""election"" AND text=""China"" AND channel=""MSNBC""",2019-08-02,1.214,seconds
"text=""election"" AND text=""China"" AND channel=""MSNBC""",2019-08-03,0.191,seconds
"text=""election"" AND text=""China"" AND channel=""MSNBC""",2019-08-13,0.641,seconds
"text=""election"" AND text=""China"" AND channel=""MSNBC""",2019-08-14,0.991,seconds
"text=""election"" AND text=""China"" AND channel=""MSNBC""",2019-09-06,0.099,seconds
"text=""election"" AND text=""China"" AND channel=""MSNBC""",2019-10-04,0.994,seconds
"text=""election"" AND text=""China"" AND channel=""MSNBC""",2019-10-05,2.0820000000000003,seconds
"text=""election"" AND text=""China"" AND channel=""MSNBC""",2019-10-07,0.92,seconds
"text=""election"" AND text=""China"" AND channel=""MSNBC""",2019-11-25,0.043,seconds
"text=""election"" AND text=""China"" AND channel=""MSNBC""",2019-12-03,2.367,seconds
"text=""election"" AND text=""China"" AND channel=""MSNBC""",2019-12-04,0.436,seconds
"text=""election"" AND text=""China"" AND channel=""MSNBC""",2020-05-25,0.99,seconds
"text=""election"" AND text=""China"" AND channel=""MSNBC""",2020-06-18,0.6220000000000001,seconds
"text=""election"" AND text=""China"" AND channel=""MSNBC""",2020-06-20,0.993,seconds
"text=""election"" AND text=""China"" AND channel=""MSNBC""",2020-06-24,0.949,seconds
"text=""election"" AND text=""China"" AND channel=""MSNBC""",2020-07-11,0.991,seconds
"text=""election"" AND text=""China"" AND channel=""MSNBC""",2020-07-23,0.918,seconds
"text=""election"" AND text=""China"" AND channel=""MSNBC""",2020-07-27,0.125,seconds
"text=""election"" AND text=""China"" AND channel=""MSNBC""",2020-08-07,1.105,seconds
"text=""election"" AND text=""China"" AND channel=""MSNBC""",2020-08-10,0.905,seconds
"text=""election"" AND text=""China"" AND channel=""MSNBC""",2020-08-11,1,seconds
"text=""election"" AND text=""China"" AND channel=""MSNBC""",2020-08-29,0.065,seconds
"text=""election"" AND text=""China"" AND channel=""MSNBC""",2020-09-03,0.405,seconds
"text=""election"" AND text=""China"" AND channel=""MSNBC""",2020-09-18,0.611,seconds
"text=""election"" AND text=""China"" AND channel=""MSNBC""",2020-10-07,0.738,seconds
"text=""election"" AND text=""China"" AND channel=""MSNBC""",2019-01-28,0,seconds
"text=""election"" AND text=""China"" AND channel=""MSNBC""",2019-01-30,0,seconds
"text=""election"" AND text=""China"" AND channel=""MSNBC""",2019-05-12,0,seconds
"text=""election"" AND text=""China"" AND channel=""MSNBC""",2019-05-14,0,seconds
"text=""election"" AND text=""China"" AND channel=""MSNBC""",2019-06-02,0,seconds
"text=""election"" AND text=""China"" AND channel=""MSNBC""",2019-06-04,0,seconds
"text=""election"" AND text=""China"" AND channel=""MSNBC""",2019-06-13,0,seconds
"text=""election"" AND text=""China"" AND channel=""MSNBC""",2019-06-15,0,seconds
"text=""election"" AND text=""China"" AND channel=""MSNBC""",2019-07-29,0,seconds
"text=""election"" AND text=""China"" AND channel=""MSNBC""",2019-07-31,0,seconds
"text=""election"" AND text=""China"" AND channel=""MSNBC""",2019-08-01,0,seconds
"text=""election"" AND text=""China"" AND channel=""MSNBC""",2019-08-04,0,seconds
"text=""election"" AND text=""China"" AND channel=""MSNBC""",2019-08-12,0,seconds
"text=""election"" AND text=""China"" AND channel=""MSNBC""",2019-08-15,0,seconds
"text=""election"" AND text=""China"" AND channel=""MSNBC""",2019-09-05,0,seconds
"text=""election"" AND text=""China"" AND channel=""MSNBC""",2019-09-07,0,seconds
"text=""election"" AND text=""China"" AND channel=""MSNBC""",2019-10-03,0,seconds
"text=""election"" AND text=""China"" AND channel=""MSNBC""",2019-10-06,0,seconds
"text=""election"" AND text=""China"" AND channel=""MSNBC""",2019-10-08,0,seconds
"text=""election"" AND text=""China"" AND channel=""MSNBC""",2019-11-24,0,seconds
"text=""election"" AND text=""China"" AND channel=""MSNBC""",2019-11-26,0,seconds
"text=""election"" AND text=""China"" AND channel=""MSNBC""",2019-12-02,0,seconds
"text=""election"" AND text=""China"" AND channel=""MSNBC""",2019-12-05,0,seconds
"text=""election"" AND text=""China"" AND channel=""MSNBC""",2020-05-24,0,seconds
"text=""election"" AND text=""China"" AND channel=""MSNBC""",2020-05-26,0,seconds
"text=""election"" AND text=""China"" AND channel=""MSNBC""",2020-06-17,0,seconds
"text=""election"" AND text=""China"" AND channel=""MSNBC""",2020-06-19,0,seconds
"text=""election"" AND text=""China"" AND channel=""MSNBC""",2020-06-21,0,seconds
"text=""election"" AND text=""China"" AND channel=""MSNBC""",2020-06-23,0,seconds
"text=""election"" AND text=""China"" AND channel=""MSNBC""",2020-06-25,0,seconds
"text=""election"" AND text=""China"" AND channel=""MSNBC""",2020-07-10,0,seconds
"text=""election"" AND text=""China"" AND channel=""MSNBC""",2020-07-12,0,seconds
"text=""election"" AND text=""China"" AND channel=""MSNBC""",2020-07-22,0,seconds
"text=""election"" AND text=""China"" AND channel=""MSNBC""",2020-07-24,0,seconds
"text=""election"" AND text=""China"" AND channel=""MSNBC""",2020-07-26,0,seconds
"text=""election"" AND text=""China"" AND channel=""MSNBC""",2020-07-28,0,seconds
"text=""election"" AND text=""China"" AND channel=""MSNBC""",2020-08-06,0,seconds
"text=""election"" AND text=""China"" AND channel=""MSNBC""",2020-08-08,0,seconds
"text=""election"" AND text=""China"" AND channel=""MSNBC""",2020-08-09,0,seconds
"text=""election"" AND text=""China"" AND channel=""MSNBC""",2020-08-12,0,seconds
"text=""election"" AND text=""China"" AND channel=""MSNBC""",2020-08-28,0,seconds
"text=""election"" AND text=""China"" AND channel=""MSNBC""",2020-08-30,0,seconds
"text=""election"" AND text=""China"" AND channel=""MSNBC""",2020-09-02,0,seconds
"text=""election"" AND text=""China"" AND channel=""MSNBC""",2020-09-04,0,seconds
"text=""election"" AND text=""China"" AND channel=""MSNBC""",2020-09-17,0,seconds
"text=""election"" AND text=""China"" AND channel=""MSNBC""",2020-09-19,0,seconds
"text=""election"" AND text=""China"" AND channel=""MSNBC""",2020-10-06,0,seconds
"text=""election"" AND text=""China"" AND channel=""MSNBC""",2020-10-08,0,seconds
"text=""election"" AND text=""China"" AND channel=""FOX""",2018-11-03,0.267,seconds
"text=""election"" AND text=""China"" AND channel=""FOX""",2019-05-11,0.908,seconds
"text=""election"" AND text=""China"" AND channel=""FOX""",2019-05-14,0.867,seconds
"text=""election"" AND text=""China"" AND channel=""FOX""",2019-05-20,0.772,seconds
"text=""election"" AND text=""China"" AND channel=""FOX""",2019-06-27,0.024,seconds
"text=""election"" AND text=""China"" AND channel=""FOX""",2019-07-25,0.988,seconds
"text=""election"" AND text=""China"" AND channel=""FOX""",2019-07-27,0.3,seconds
"text=""election"" AND text=""China"" AND channel=""FOX""",2019-07-29,0.32,seconds
"text=""election"" AND text=""China"" AND channel=""FOX""",2019-08-10,0.34,seconds
"text=""election"" AND text=""China"" AND channel=""FOX""",2019-08-11,0.19,seconds
"text=""election"" AND text=""China"" AND channel=""FOX""",2019-08-13,0.683,seconds
"text=""election"" AND text=""China"" AND channel=""FOX""",2019-08-16,0.06,seconds
"text=""election"" AND text=""China"" AND channel=""FOX""",2019-09-20,0.903,seconds
"text=""election"" AND text=""China"" AND channel=""FOX""",2019-09-23,0.151,seconds
"text=""election"" AND text=""China"" AND channel=""FOX""",2019-09-29,0.897,seconds
"text=""election"" AND text=""China"" AND channel=""FOX""",2019-10-07,0.57,seconds
"text=""election"" AND text=""China"" AND channel=""FOX""",2019-10-15,1.287,seconds
"text=""election"" AND text=""China"" AND channel=""FOX""",2019-10-17,0.551,seconds
"text=""election"" AND text=""China"" AND channel=""FOX""",2019-12-02,0.175,seconds
"text=""election"" AND text=""China"" AND channel=""FOX""",2019-12-03,1.372,seconds
"text=""election"" AND text=""China"" AND channel=""FOX""",2020-01-15,0.929,seconds
"text=""election"" AND text=""China"" AND channel=""FOX""",2020-02-11,0.9,seconds
"text=""election"" AND text=""China"" AND channel=""FOX""",2020-02-13,0.026,seconds
"text=""election"" AND text=""China"" AND channel=""FOX""",2020-03-08,0.536,seconds
"text=""election"" AND text=""China"" AND channel=""FOX""",2020-04-22,0.545,seconds
"text=""election"" AND text=""China"" AND channel=""FOX""",2020-04-24,0.833,seconds
"text=""election"" AND text=""China"" AND channel=""FOX""",2020-06-18,0.414,seconds
"text=""election"" AND text=""China"" AND channel=""FOX""",2020-06-30,1.949,seconds
"text=""election"" AND text=""China"" AND channel=""FOX""",2020-07-24,1.491,seconds
"text=""election"" AND text=""China"" AND channel=""FOX""",2020-08-08,0.78,seconds
"text=""election"" AND text=""China"" AND channel=""FOX""",2020-08-09,0.195,seconds
"text=""election"" AND text=""China"" AND channel=""FOX""",2020-08-11,0.067,seconds
"text=""election"" AND text=""China"" AND channel=""FOX""",2020-08-31,0.445,seconds
"text=""election"" AND text=""China"" AND channel=""FOX""",2020-09-01,0.077,seconds
"text=""election"" AND text=""China"" AND channel=""FOX""",2020-09-16,0.51,seconds
"text=""election"" AND text=""China"" AND channel=""FOX""",2020-09-17,0.496,seconds
"text=""election"" AND text=""China"" AND channel=""FOX""",2020-10-01,0.724,seconds
"text=""election"" AND text=""China"" AND channel=""FOX""",2020-10-08,0.774,seconds
"text=""election"" AND text=""China"" AND channel=""FOX""",2020-10-09,0.884,seconds
"text=""election"" AND text=""China"" AND channel=""FOX""",2020-10-20,0.995,seconds
"text=""election"" AND text=""China"" AND channel=""FOX""",2018-11-02,0,seconds
"text=""election"" AND text=""China"" AND channel=""FOX""",2018-11-04,0,seconds
"text=""election"" AND text=""China"" AND channel=""FOX""",2019-05-10,0,seconds
"text=""election"" AND text=""China"" AND channel=""FOX""",2019-05-12,0,seconds
"text=""election"" AND text=""China"" AND channel=""FOX""",2019-05-13,0,seconds
"text=""election"" AND text=""China"" AND channel=""FOX""",2019-05-15,0,seconds
"text=""election"" AND text=""China"" AND channel=""FOX""",2019-05-19,0,seconds
"text=""election"" AND text=""China"" AND channel=""FOX""",2019-05-21,0,seconds
"text=""election"" AND text=""China"" AND channel=""FOX""",2019-06-26,0,seconds
"text=""election"" AND text=""China"" AND channel=""FOX""",2019-06-28,0,seconds
"text=""election"" AND text=""China"" AND channel=""FOX""",2019-07-24,0,seconds
"text=""election"" AND text=""China"" AND channel=""FOX""",2019-07-26,0,seconds
"text=""election"" AND text=""China"" AND channel=""FOX""",2019-07-28,0,seconds
"text=""election"" AND text=""China"" AND channel=""FOX""",2019-07-30,0,seconds
"text=""election"" AND text=""China"" AND channel=""FOX""",2019-08-09,0,seconds
"text=""election"" AND text=""China"" AND channel=""FOX""",2019-08-12,0,seconds
"text=""election"" AND text=""China"" AND channel=""FOX""",2019-08-14,0,seconds
"text=""election"" AND text=""China"" AND channel=""FOX""",2019-08-15,0,seconds
"text=""election"" AND text=""China"" AND channel=""FOX""",2019-08-17,0,seconds
"text=""election"" AND text=""China"" AND channel=""FOX""",2019-09-19,0,seconds
"text=""election"" AND text=""China"" AND channel=""FOX""",2019-09-21,0,seconds
"text=""election"" AND text=""China"" AND channel=""FOX""",2019-09-22,0,seconds
"text=""election"" AND text=""China"" AND channel=""FOX""",2019-09-24,0,seconds
"text=""election"" AND text=""China"" AND channel=""FOX""",2019-09-28,0,seconds
"text=""election"" AND text=""China"" AND channel=""FOX""",2019-09-30,0,seconds
"text=""election"" AND text=""China"" AND channel=""FOX""",2019-10-06,0,seconds
"text=""election"" AND text=""China"" AND channel=""FOX""",2019-10-08,0,seconds
"text=""election"" AND text=""China"" AND channel=""FOX""",2019-10-14,0,seconds
"text=""election"" AND text=""China"" AND channel=""FOX""",2019-10-16,0,seconds
"text=""election"" AND text=""China"" AND channel=""FOX""",2019-10-18,0,seconds
"text=""election"" AND text=""China"" AND channel=""FOX""",2019-12-01,0,seconds
"text=""election"" AND text=""China"" AND channel=""FOX""",2019-12-04,0,seconds
"text=""election"" AND text=""China"" AND channel=""FOX""",2020-01-14,0,seconds
"text=""election"" AND text=""China"" AND channel=""FOX""",2020-01-16,0,seconds
"text=""election"" AND text=""China"" AND channel=""FOX""",2020-02-10,0,seconds
"text=""election"" AND text=""China"" AND channel=""FOX""",2020-02-12,0,seconds
"text=""election"" AND text=""China"" AND channel=""FOX""",2020-02-14,0,seconds
"text=""election"" AND text=""China"" AND channel=""FOX""",2020-03-07,0,seconds
"text=""election"" AND text=""China"" AND channel=""FOX""",2020-03-09,0,seconds
"text=""election"" AND text=""China"" AND channel=""FOX""",2020-04-21,0,seconds
"text=""election"" AND text=""China"" AND channel=""FOX""",2020-04-23,0,seconds
"text=""election"" AND text=""China"" AND channel=""FOX""",2020-04-25,0,seconds
"text=""election"" AND text=""China"" AND channel=""FOX""",2020-06-17,0,seconds
"text=""election"" AND text=""China"" AND channel=""FOX""",2020-06-19,0,seconds
"text=""election"" AND text=""China"" AND channel=""FOX""",2020-06-29,0,seconds
"text=""election"" AND text=""China"" AND channel=""FOX""",2020-07-01,0,seconds
"text=""election"" AND text=""China"" AND channel=""FOX""",2020-07-23,0,seconds
"text=""election"" AND text=""China"" AND channel=""FOX""",2020-07-25,0,seconds
"text=""election"" AND text=""China"" AND channel=""FOX""",2020-08-07,0,seconds
"text=""election"" AND text=""China"" AND channel=""FOX""",2020-08-10,0,seconds
"text=""election"" AND text=""China"" AND channel=""FOX""",2020-08-12,0,seconds
"text=""election"" AND text=""China"" AND channel=""FOX""",2020-08-30,0,seconds
"text=""election"" AND text=""China"" AND channel=""FOX""",2020-09-02,0,seconds
"text=""election"" AND text=""China"" AND channel=""FOX""",2020-09-15,0,seconds
"text=""election"" AND text=""China"" AND channel=""FOX""",2020-09-18,0,seconds
"text=""election"" AND text=""China"" AND channel=""FOX""",2020-09-30,0,seconds
"text=""election"" AND text=""China"" AND channel=""FOX""",2020-10-02,0,seconds
"text=""election"" AND text=""China"" AND channel=""FOX""",2020-10-07,0,seconds
"text=""election"" AND text=""China"" AND channel=""FOX""",2020-10-10,0,seconds
"text=""election"" AND text=""China"" AND channel=""FOX""",2020-10-19,0,seconds
"text=""election"" AND text=""China"" AND channel=""FOX""",2020-10-21,0,seconds
