Query,Time,Value,Unit
"text=""election"" AND text=""fraud"" AND channel=""MSNBC""",2020-06-06,0.936,seconds
"text=""election"" AND text=""fraud"" AND channel=""MSNBC""",2020-06-26,1.1,seconds
"text=""election"" AND text=""fraud"" AND channel=""MSNBC""",2020-07-18,0.45,seconds
"text=""election"" AND text=""fraud"" AND channel=""MSNBC""",2020-07-22,0.565,seconds
"text=""election"" AND text=""fraud"" AND channel=""MSNBC""",2020-07-24,0.085,seconds
"text=""election"" AND text=""fraud"" AND channel=""MSNBC""",2020-07-29,0.975,seconds
"text=""election"" AND text=""fraud"" AND channel=""MSNBC""",2020-07-31,1.931,seconds
"text=""election"" AND text=""fraud"" AND channel=""MSNBC""",2020-08-01,0.45999999999999996,seconds
"text=""election"" AND text=""fraud"" AND channel=""MSNBC""",2020-08-05,1.9869999999999999,seconds
"text=""election"" AND text=""fraud"" AND channel=""MSNBC""",2020-08-15,0.325,seconds
"text=""election"" AND text=""fraud"" AND channel=""MSNBC""",2020-08-16,0.994,seconds
"text=""election"" AND text=""fraud"" AND channel=""MSNBC""",2020-08-18,0.721,seconds
"text=""election"" AND text=""fraud"" AND channel=""MSNBC""",2020-08-20,0.851,seconds
"text=""election"" AND text=""fraud"" AND channel=""MSNBC""",2020-08-21,0.555,seconds
"text=""election"" AND text=""fraud"" AND channel=""MSNBC""",2020-08-24,0.59,seconds
"text=""election"" AND text=""fraud"" AND channel=""MSNBC""",2020-08-25,0.072,seconds
"text=""election"" AND text=""fraud"" AND channel=""MSNBC""",2020-08-29,0.055,seconds
"text=""election"" AND text=""fraud"" AND channel=""MSNBC""",2020-09-03,0.55,seconds
"text=""election"" AND text=""fraud"" AND channel=""MSNBC""",2020-09-04,1.705,seconds
"text=""election"" AND text=""fraud"" AND channel=""MSNBC""",2020-09-06,0.076,seconds
"text=""election"" AND text=""fraud"" AND channel=""MSNBC""",2020-09-07,1.121,seconds
"text=""election"" AND text=""fraud"" AND channel=""MSNBC""",2020-09-08,0.931,seconds
"text=""election"" AND text=""fraud"" AND channel=""MSNBC""",2020-09-12,0.645,seconds
"text=""election"" AND text=""fraud"" AND channel=""MSNBC""",2020-09-14,0.6,seconds
"text=""election"" AND text=""fraud"" AND channel=""MSNBC""",2020-09-15,0.675,seconds
"text=""election"" AND text=""fraud"" AND channel=""MSNBC""",2020-09-16,0.376,seconds
"text=""election"" AND text=""fraud"" AND channel=""MSNBC""",2020-09-22,1.17,seconds
"text=""election"" AND text=""fraud"" AND channel=""MSNBC""",2020-09-23,1.34,seconds
"text=""election"" AND text=""fraud"" AND channel=""MSNBC""",2020-09-24,2.015,seconds
"text=""election"" AND text=""fraud"" AND channel=""MSNBC""",2020-09-25,2.2560000000000002,seconds
"text=""election"" AND text=""fraud"" AND channel=""MSNBC""",2020-09-27,0.225,seconds
"text=""election"" AND text=""fraud"" AND channel=""MSNBC""",2020-09-28,0.177,seconds
"text=""election"" AND text=""fraud"" AND channel=""MSNBC""",2020-09-29,0.529,seconds
"text=""election"" AND text=""fraud"" AND channel=""MSNBC""",2020-10-01,1.095,seconds
"text=""election"" AND text=""fraud"" AND channel=""MSNBC""",2020-10-08,5.494999999999999,seconds
"text=""election"" AND text=""fraud"" AND channel=""MSNBC""",2020-10-09,1.8860000000000001,seconds
"text=""election"" AND text=""fraud"" AND channel=""MSNBC""",2020-10-10,0.655,seconds
