Query,Time,Value,Unit
"text=""election"" AND text=""interfere"" AND channel=""MSNBC""",2018-11-02,0.379,seconds
"text=""election"" AND text=""interfere"" AND channel=""MSNBC""",2018-11-08,0.38,seconds
"text=""election"" AND text=""interfere"" AND channel=""MSNBC""",2018-11-09,0.535,seconds
"text=""election"" AND text=""interfere"" AND channel=""MSNBC""",2018-11-10,0.139,seconds
"text=""election"" AND text=""interfere"" AND channel=""MSNBC""",2018-11-11,0.309,seconds
"text=""election"" AND text=""interfere"" AND channel=""MSNBC""",2018-11-12,0.29,seconds
"text=""election"" AND text=""interfere"" AND channel=""MSNBC""",2018-11-13,0.7290000000000001,seconds
"text=""election"" AND text=""interfere"" AND channel=""MSNBC""",2018-11-14,0.35,seconds
"text=""election"" AND text=""interfere"" AND channel=""MSNBC""",2018-11-15,0.615,seconds
"text=""election"" AND text=""interfere"" AND channel=""MSNBC""",2018-11-18,0.249,seconds
"text=""election"" AND text=""interfere"" AND channel=""MSNBC""",2018-11-22,0.813,seconds
"text=""election"" AND text=""interfere"" AND channel=""MSNBC""",2018-11-23,0.091,seconds
"text=""election"" AND text=""interfere"" AND channel=""MSNBC""",2018-11-29,0.881,seconds
"text=""election"" AND text=""interfere"" AND channel=""MSNBC""",2018-12-01,0.5,seconds
"text=""election"" AND text=""interfere"" AND channel=""MSNBC""",2018-12-02,0.17,seconds
"text=""election"" AND text=""interfere"" AND channel=""MSNBC""",2018-12-04,0.246,seconds
"text=""election"" AND text=""interfere"" AND channel=""MSNBC""",2018-12-09,0.992,seconds
"text=""election"" AND text=""interfere"" AND channel=""MSNBC""",2018-12-14,0.9650000000000001,seconds
"text=""election"" AND text=""interfere"" AND channel=""MSNBC""",2018-12-15,0.174,seconds
"text=""election"" AND text=""interfere"" AND channel=""MSNBC""",2018-12-17,0.379,seconds
"text=""election"" AND text=""interfere"" AND channel=""MSNBC""",2018-12-18,1.541,seconds
"text=""election"" AND text=""interfere"" AND channel=""MSNBC""",2018-12-19,0.09,seconds
"text=""election"" AND text=""interfere"" AND channel=""MSNBC""",2018-12-31,0.14,seconds
"text=""election"" AND text=""interfere"" AND channel=""MSNBC""",2019-01-09,0.356,seconds
"text=""election"" AND text=""interfere"" AND channel=""MSNBC""",2019-01-11,0.38,seconds
"text=""election"" AND text=""interfere"" AND channel=""MSNBC""",2019-01-12,1.216,seconds
"text=""election"" AND text=""interfere"" AND channel=""MSNBC""",2019-01-14,0.066,seconds
"text=""election"" AND text=""interfere"" AND channel=""MSNBC""",2019-01-15,0.618,seconds
"text=""election"" AND text=""interfere"" AND channel=""MSNBC""",2019-01-16,0.486,seconds
"text=""election"" AND text=""interfere"" AND channel=""MSNBC""",2019-01-17,1.046,seconds
"text=""election"" AND text=""interfere"" AND channel=""MSNBC""",2019-01-18,0.769,seconds
"text=""election"" AND text=""interfere"" AND channel=""MSNBC""",2019-01-28,0.185,seconds
